"O que é sistema binário?","Sistema numérico que usa apenas 0 e 1 (base 2)."
"Por que computadores usam binário?","Porque é mais fácil representar dois estados físicos (ligado/desligado)."
"O que significa um bit?","Um dígito binário (0 ou 1)."
"O que é um byte?","Conjunto de 8 bits."
"Qual a diferença entre decimal e binário?","Decimal usa base 10; binário usa base 2."
"Quais são as potências usadas no binário?","Potências de 2 (1,2,4,8,16...)."
"Como converter 101 em binário para decimal?","1×4 + 0×2 + 1×1 = 5."
"O que representa 111 em binário?","7 (4+2+1)."
"Por que precisamos de mais bits para números maiores?","Cada bit adiciona uma nova potência de 2."
"O que permite representar letras em computadores?","Mapeamentos como ASCII ou Unicode."
"O que é ASCII?","Tabela que associa números a caracteres (ex: 65 = A)."
"Limitação do ASCII?","Suporta poucos caracteres (principalmente inglês)."
"O que é Unicode?","Sistema mais amplo que suporta vários idiomas e emojis."
"O que um programa faz com os bits?","Interpreta bits como números, texto ou outros dados."
"O que é CPU?","Unidade Central de Processamento; o cérebro do computador."
"O que a CPU faz?","Executa cálculos, instruções e programas."
"O que são núcleos (cores)?","Unidades dentro da CPU que permitem tarefas paralelas."
"O que é RAM?","Memória rápida e temporária usada enquanto o computador está ligado."
"A RAM é volátil ou permanente?","Volátil (perde dados sem energia)."
"Onde ficam os programas quando estão em uso?","Na RAM."
"O que é armazenamento não volátil?","Memória que mantém dados sem energia (HD/SSD)."
"O que é um HD?","Disco rígido mecânico com partes móveis."
"Como o HD armazena dados?","Usando orientação magnética em discos giratórios."
"O que é um SSD?","Armazenamento em estado sólido sem partes móveis."
"Vantagem do SSD sobre HD?","Mais rápido e resistente."
"Desvantagem do SSD?","Pode ter vida útil limitada em escrita e maior custo."
"O que é memória flash?","Tecnologia usada em SSDs e pendrives."
"O que é cache de CPU?","Memória muito rápida entre RAM e CPU."
"Tipos de cache comuns?","L1, L2 e L3."
"Qual cache é mais rápido?","L1 (mais próximo da CPU)."
"Hierarquia de memória (do mais lento ao mais rápido)?","Disco → RAM → Cache → Registradores."
"O que são registradores?","Memória minúscula dentro da CPU usada em cálculos imediatos."
"Trade-off comum em memória?","Velocidade vs tamanho vs custo."
"O que é um transistor?","Interruptor eletrônico que representa 0 ou 1."
"Quantos transistores existem em CPUs modernas?","Bilhões."
"O que é um sistema operacional?","Software que gerencia hardware e programas."
"Exemplos de sistemas operacionais?","Windows, macOS, Linux."
"Função do sistema operacional?","Gerenciar memória, hardware, arquivos e interface."
"O que é USB?","Padrão para conectar periféricos."
"O que é HDMI?","Conector para áudio e vídeo digital."
"O que é Wi-Fi?","Tecnologia de rede sem fio de longo alcance."
"O que é Bluetooth?","Tecnologia sem fio de curto alcance para dispositivos pessoais."
"O que significa GHz na CPU?","Bilhões de ciclos por segundo."
"Mais GHz significa o quê?","Maior capacidade de processamento por segundo."
"Por que mais RAM ajuda?","Permite rodar mais programas simultaneamente."
"O que acontece ao abrir um programa?","Ele é carregado do disco para a RAM."
"Por que cache melhora desempenho?","Deixa dados mais próximos da CPU."
"O que acontece quando falta RAM?","Sistema usa disco e fica mais lento."
"Por que computadores conseguem representar qualquer dado?","Tudo pode ser codificado em padrões de bits."
